geo,TIME_PERIOD,OBS_VALUE,label_variation,prob_aumento,prob_diminuzione,prob_stabile
AL,2022,110.3,aumento,0.99,0.01,0.0
AL,2022,106.4,stabile,0.01,0.95,0.04
AL,2022,6.4,diminuzione,0.0,1.0,0.0
AL,2023,111.2,aumento,0.99,0.0,0.01
AL,2023,4.5,diminuzione,0.0,1.0,0.0
AL,2024,113.6,aumento,0.99,0.01,0.0
AT,2022,132.9,aumento,1.0,0.0,0.0
AT,2022,110.1,diminuzione,0.0,0.99,0.01
AT,2022,10.1,diminuzione,0.0,1.0,0.0
AT,2023,134.4,aumento,1.0,0.0,0.0
AT,2023,111.3,diminuzione,0.0,0.99,0.01
AT,2023,1.1,diminuzione,0.0,1.0,0.0
AT,2024,115.4,aumento,0.99,0.01,0.0
BG,2022,196.4,aumento,1.0,0.0,0.0
BG,2022,154.8,diminuzione,0.01,0.98,0.01
BG,2022,54.8,diminuzione,0.0,1.0,0.0
BG,2023,228.2,aumento,1.0,0.0,0.0
BG,2023,180.1,diminuzione,0.01,0.98,0.01
BG,2023,16.3,diminuzione,0.0,1.0,0.0
BG,2024,187.3,aumento,1.0,0.0,0.0
CY,2022,120.7,aumento,1.0,0.0,0.0
CY,2022,111.7,diminuzione,0.0,0.97,0.03
CY,2022,11.7,diminuzione,0.0,1.0,0.0
CY,2023,114.5,aumento,0.99,0.0,0.01
CY,2023,2.5,diminuzione,0.0,1.0,0.0
CY,2024,115.5,aumento,0.99,0.01,0.0
CZ,2022,150.6,aumento,1.0,0.0,0.0
CZ,2022,120.4,diminuzione,0.01,0.98,0.01
CZ,2022,20.4,diminuzione,0.0,1.0,0.0
CZ,2023,125.7,aumento,0.98,0.01,0.01
CZ,2023,4.4,diminuzione,0.0,1.0,0.0
CZ,2024,126.3,aumento,0.99,0.01,0.0
DE,2022,137.4,aumento,1.0,0.0,0.0
DE,2022,113.0,diminuzione,0.0,0.99,0.01
DE,2022,13.0,diminuzione,0.0,1.0,0.0
DE,2023,117.0,aumento,0.99,0.0,0.01
DE,2023,3.5,diminuzione,0.0,1.0,0.0
DE,2024,118.9,aumento,0.98,0.02,0.0
DK,2022,121.0,aumento,1.0,0.0,0.0
DK,2022,110.0,diminuzione,0.0,1.0,0.0
DK,2022,10.0,diminuzione,0.0,1.0,0.0
DK,2023,114.9,aumento,0.99,0.0,0.01
DK,2023,4.5,diminuzione,0.0,1.0,0.0
DK,2024,116.7,aumento,0.99,0.01,0.0
EA19,2022,129.7,aumento,1.0,0.0,0.0
EA19,2022,112.1,diminuzione,0.0,1.0,0.0
EA19,2022,12.1,diminuzione,0.0,1.0,0.0
EA19,2023,115.8,aumento,0.99,0.0,0.01
EA20,2022,129.7,aumento,1.0,0.0,0.0
EA20,2022,112.1,diminuzione,0.0,1.0,0.0
EA20,2022,12.1,diminuzione,0.0,1.0,0.0
EA20,2023,115.8,aumento,0.99,0.0,0.01
EE,2022,135.9,aumento,1.0,0.0,0.0
EE,2022,118.2,diminuzione,0.0,0.99,0.01
EE,2022,18.2,diminuzione,0.0,1.0,0.0
EE,2023,143.1,aumento,1.0,0.0,0.0
EE,2023,124.4,diminuzione,0.0,0.99,0.01
EE,2023,5.2,diminuzione,0.0,1.0,0.0
EE,2024,126.3,aumento,0.99,0.01,0.0
EL,2022,111.5,aumento,0.98,0.01,0.01
EL,2022,108.8,stabile,0.0,0.98,0.02
EL,2022,8.8,diminuzione,0.0,1.0,0.0
EL,2023,118.5,aumento,1.0,0.0,0.0
EL,2023,115.6,stabile,0.01,0.97,0.02
EL,2023,6.3,diminuzione,0.0,1.0,0.0
EL,2024,119.8,aumento,0.99,0.01,0.0
ES,2022,127.1,aumento,1.0,0.0,0.0
ES,2022,112.3,diminuzione,0.0,1.0,0.0
ES,2022,12.3,diminuzione,0.0,1.0,0.0
ES,2023,128.8,aumento,1.0,0.0,0.0
ES,2023,115.0,diminuzione,0.01,0.98,0.01
ES,2023,2.4,diminuzione,0.0,1.0,0.0
ES,2024,115.6,aumento,0.98,0.02,0.0
EU27_2020,2022,131.1,aumento,1.0,0.0,0.0
EU27_2020,2022,112.4,diminuzione,0.0,0.99,0.01
EU27_2020,2022,12.4,diminuzione,0.0,1.0,0.0
EU27_2020,2023,116.5,aumento,0.99,0.0,0.01
FI,2022,118.5,aumento,1.0,0.0,0.0
FI,2022,108.2,diminuzione,0.01,0.97,0.02
FI,2022,8.2,diminuzione,0.0,1.0,0.0
FI,2023,122.1,aumento,1.0,0.0,0.0
FI,2023,111.5,diminuzione,0.0,0.98,0.02
FI,2023,3.0,diminuzione,0.0,1.0,0.0
FI,2024,110.6,aumento,0.99,0.01,0.0
IT,2022,120.3,aumento,1.0,0.0,0.0
IT,2022,111.9,diminuzione,0.0,1.0,0.0
IT,2022,11.9,diminuzione,0.0,0.99,0.01
IT,2023,122.7,aumento,1.0,0.0,0.0
IT,2023,114.2,diminuzione,0.01,0.96,0.03
LT,2022,148.3,aumento,1.0,0.0,0.0
LT,2022,118.0,diminuzione,0.0,0.99,0.01
LT,2022,18.0,diminuzione,0.0,1.0,0.0
LT,2023,159.0,aumento,1.0,0.0,0.0
LT,2023,126.5,diminuzione,0.0,0.99,0.01
LT,2023,7.2,diminuzione,0.0,1.0,0.0
LT,2024,132.8,aumento,1.0,0.0,0.0
LV,2022,154.2,aumento,1.0,0.0,0.0
LV,2022,113.3,diminuzione,0.01,0.98,0.01
LV,2022,13.3,diminuzione,0.0,1.0,0.0
LV,2023,118.6,aumento,0.99,0.0,0.01
LV,2023,4.7,diminuzione,0.0,1.0,0.0
LV,2024,125.3,aumento,0.99,0.01,0.0
ME,2022,150.4,aumento,1.0,0.0,0.0
ME,2022,132.4,diminuzione,0.01,0.98,0.01
ME,2022,32.4,diminuzione,0.0,1.0,0.0
ME,2023,157.2,aumento,1.0,0.0,0.0
ME,2023,18.7,diminuzione,0.0,1.0,0.0
ME,2024,185.2,aumento,1.0,0.0,0.0
MK,2022,155.4,aumento,1.0,0.0,0.0
MK,2022,123.7,diminuzione,0.0,0.99,0.01
MK,2022,23.7,diminuzione,0.0,1.0,0.0
MK,2023,135.3,aumento,1.0,0.0,0.0
MK,2023,9.4,diminuzione,0.0,1.0,0.0
MK,2024,125.5,aumento,0.99,0.01,0.0
MT,2022,149.7,aumento,1.0,0.0,0.0
MT,2022,119.1,diminuzione,0.0,0.99,0.01
MT,2022,19.1,diminuzione,0.0,1.0,0.0
MT,2023,118.8,aumento,0.99,0.0,0.01
MT,2023,-0.3,diminuzione,0.0,1.0,0.0
MT,2024,119.7,diminuzione,0.0,0.99,0.01
NL,2022,127.5,aumento,1.0,0.0,0.0
NL,2022,109.1,diminuzione,0.0,1.0,0.0
NL,2022,9.1,diminuzione,0.0,1.0,0.0
NL,2023,134.2,aumento,1.0,0.0,0.0
NL,2023,115.4,diminuzione,0.0,0.99,0.01
NL,2023,5.8,diminuzione,0.0,1.0,0.0
NL,2024,118.7,aumento,0.99,0.01,0.0
NO,2022,135.2,aumento,1.0,0.0,0.0
NO,2022,108.8,diminuzione,0.0,0.99,0.01
NO,2022,8.8,diminuzione,0.0,1.0,0.0
NO,2023,141.1,aumento,1.0,0.0,0.0
NO,2023,113.6,diminuzione,0.0,0.99,0.01
NO,2023,4.4,diminuzione,0.0,1.0,0.0
NO,2024,117.8,aumento,0.99,0.01,0.0
PT,2022,131.5,aumento,1.0,0.0,0.0
PT,2022,112.2,diminuzione,0.0,0.99,0.01
PT,2022,12.2,diminuzione,0.0,1.0,0.0
PT,2023,136.6,aumento,1.0,0.0,0.0
PT,2023,116.5,diminuzione,0.0,0.99,0.01
PT,2023,3.8,diminuzione,0.0,1.0,0.0
PT,2024,120.4,aumento,0.98,0.02,0.0
RO,2022,180.0,aumento,1.0,0.0,0.0
RO,2022,119.0,diminuzione,0.01,0.98,0.01
RO,2022,19.0,diminuzione,0.0,1.0,0.0
RO,2023,209.3,aumento,1.0,0.0,0.0
RO,2023,128.6,diminuzione,0.01,0.98,0.01
RO,2023,8.1,diminuzione,0.0,1.0,0.0
RO,2024,141.2,aumento,1.0,0.0,0.0
RS,2022,115.6,aumento,0.99,0.0,0.01
RS,2022,15.6,diminuzione,0.0,1.0,0.0
RS,2023,125.3,aumento,1.0,0.0,0.0
RS,2023,8.4,diminuzione,0.0,1.0,0.0
RS,2024,134.7,aumento,1.0,0.0,0.0
SE,2022,133.5,aumento,1.0,0.0,0.0
SE,2022,112.3,diminuzione,0.0,0.99,0.01
SE,2022,12.3,diminuzione,0.0,1.0,0.0
SE,2023,139.1,aumento,1.0,0.0,0.0
SE,2023,117.0,diminuzione,0.0,0.99,0.01
SE,2023,4.2,diminuzione,0.0,1.0,0.0
SE,2024,118.8,aumento,0.98,0.02,0.0
SI,2022,140.6,aumento,1.0,0.0,0.0
SI,2022,114.4,diminuzione,0.0,0.99,0.01
SI,2022,14.4,diminuzione,0.0,1.0,0.0
SI,2023,122.8,aumento,1.0,0.0,0.0
SI,2023,7.3,diminuzione,0.0,1.0,0.0
SI,2024,127.3,aumento,0.99,0.01,0.0
TR,2022,603.3,aumento,1.0,0.0,0.0
TR,2022,199.7,diminuzione,0.01,0.98,0.01
TR,2022,99.7,diminuzione,0.0,0.97,0.03
TR,2023,327.5,aumento,1.0,0.0,0.0
TR,2023,64.0,diminuzione,0.0,1.0,0.0
TR,2024,500.3,aumento,1.0,0.0,0.0
UA,2022,127.8,aumento,0.92,0.05,0.03
UA,2022,27.8,diminuzione,0.0,1.0,0.0
UA,2023,148.6,aumento,1.0,0.0,0.0
UA,2023,16.3,diminuzione,0.0,1.0,0.0
UA,2024,161.5,aumento,1.0,0.0,0.0
